category,card_ids,recall_card_ids,add_display_ids,question,answer
"移動, 想い出カード効果",61,,,移動フェイズで、最初の部屋のコストの意志鍵は手札から、2つ目の部屋のコストの感情鍵は心光の行使で、3つ目の部屋のコストの知恵鍵は万能移動鍵トークンで支払った。このとき、『No.61 没頭する刻』の効果で思い出の山札からカードを1枚引けるか。,いいえ、できません。心光の行使や万能鍵はその種類の鍵を支払ったと言えません。その鍵を支払ったとみなせるのは、手札・エンジンによる非万能鍵での支払いのみです。
"想い出カード効果, 移動","61,96",,"3,82",移動フェイズで、知恵鍵・感情鍵を『No.82 有限と無限の間』で支払い、意志鍵を『No.3 荒廃』で支払いました。自己構成済みカードに『No.96 存在の多面性』があるとき、『No.61 没頭する刻』の3種類全ての鍵のコストを支払う条件を満たし、想い出の山札からカードを1枚引けますか。,はい、できます。『No.96 存在の多面性』では、意志鍵を万能鍵として扱う効果は、意志鍵を意志鍵・万能鍵のどちらとして見ることも可能ということです。
想い出カード効果,"64,65,66",,,自己構成済みの『No.64 瞬間の保存』と『No.65 思惟の渦中』の効果は重複しますか。,はい、重複します。効果としては全く同一ですが、カード名が異なるため2枚とも自己構成することができます。
"想い出カード効果, 移動, 目標","67,68,69,O1","33,36,39,51,54,57,66,69,96",33,想起フェイズで表向きにしたカードは『No.33 零れ落ちる星屑』でした。想起効果は「次のレベル1の部屋に移動してもよい。そうした場合、場札を1枚獲得し、移動先のアクションを行う」です。次の部屋に移動することで、このターン4部屋目の入室となります。このとき、『No. 67 偉人のひらめき』の効果で心光を1つ獲得できますか。,はい、できます。『No.67 偉人のひらめき』はターン内でのカウントのため、移動フェイズ以外での移動もカウント対象となります。
想い出カード効果,"67,68,69,73,76,74,77,75,78,79,80,81",,,1ターンに4部屋以上移動したとき、『No.68 夏至の午後』と『No.69 希望の篝火』の効果は2つとも発動しますか。,はい、2つとも発動します。発動順序も自由に選べます。
"想い出カード効果, 移動","67,68,69",,,1ターンに8部屋移動したとき、『No.67 偉人のひらめき』の効果は2回発動できますか。,いいえ、できません。『No.67 偉人のひらめき』の効果は1ターンに最大1回までしか発動できません。
"床アクション, 想い出カード効果","85,86,87",,,"""HERMES"" の部屋の床アクションとして精神分析を行い、精神分析階層を進めました。進んだ先のカード上に心光トークンが置かれていたため、心光を獲得しました。このとき、『No. 85 照らすもの』の効果で心光をさらに1つ獲得できますか。","いいえ、できません。『No.85 照らすもの』の効果で心光が獲得できるのは ""APHRODITE"", ""ARES, ""ARTEMIS"", ""HERA, ""HADES"" など床カード自体に心光を獲得するアクションが記載されている場合です。『No.86 旋律のしぶき』『No.87 勇気の残り香』の発動条件も同様です。"
"想い出カード効果, 目標","88,O6",,,精神分析アクションで精神ぶんせき階層を1つ上げ、さらに自己構成アクションで『No.88 知識の方舟』を自己構成し、精神分析階層をもう1つ上げました。このとき、このターンに精神分析を2回実行する必要がある目標カードを獲得できますか。,いいえ、できません。精神分析アクション以外で精神分析階層を上げても「精神分析を実行した」と言えません。
"想い出カード効果, 目標","94,96,O7",,,移動フェイズ中、『No.96 存在の多面性』の効果で自己構成済みカードの意志鍵を万能鍵として扱ったとき、他に感情鍵・知恵鍵の自己構成済みカードがあれば、目標「自己構成済みカードに知恵鍵・意志鍵・感情鍵・万能鍵が全て存在」を満たしたとし、移動フェイズ中であれば目標カードを獲得できますか。,はい、できます。移動フェイズ中は意志鍵を意志鍵・万能鍵どちらとしても見られるため、目標カードの条件を満たしたと言えます。
想い出カード効果,95,,40,『No.95 歓喜の残滓』の効果で『No.40 日記』など自己構成済みの万能鍵を使用することはできるか。,いいえ、できません。使用できるのは感情鍵を持つ自己構成済みカードのみです。
想い出カード効果,"95,98",,,『No.95 歓喜の残滓』の効果で『No.98 母の手の温もり』を横向き（使用済み）にしたとき、自己構成エネルギーを2減らすことはできるか。,いいえ、できません。横向きにした（使用した）カード枚数のみで自己構成エネルギーの削減数は決まります。
"想い出カード効果, 初期自我","98,I3",,2,自己構成アクションで、初期自我カード『建築家』の効果を適用し、『No.98 母の手の温もり』を自己構成したい。このとき、自己構成済みカードに感情鍵が3つあれば、エネルギー2の自己構成済みカードを捨てれば『No.98 母の手の温もり』を自己構成可能か。,はい、できます。『No.98 母の手の温もり』は手札保有時にエネルギーが4になっているため、自己構成済みのエネルギー2以上のカードを捨てれば『建築家』の効果で自己構成できます。ただし、『No.2 既視感』など、感情鍵を持つカードを捨てた場合は、捨てる処理が先に行われるため、その時点で手札の『No.98 母の手の温もり』のエネルギーは5になり、自己構成できません。
初期自我,I4,,51,想起フェイズで表向きにしたカードは『No.51 螺旋の指南』でした。想起効果は「次のレベル1の部屋に移動してもよい。そうした場合、場札を1枚獲得し、移動先のアクションを行う」です。移動した先の部屋の下に想い出カードが置かれている場合、初期自我カード『論理学者』の効果で獲得することは可能ですか。,はい、手札に加えなければなりません。それによって手札が上限枚数(8枚)を超える場合、代わりに何か手札を捨てる必要があります。
初期自我,I5,,,初期自我カード『起業家』の効果で手札から回廊上に置くカードは裏向きにして置きますか。,はい、他の部屋カード上の想い出カード同様に裏向きにして置きます。
初期自我,I5,,,初期自我カード『起業家』の効果で手札と交換した想い出カードがある部屋に止まった場合、通常通り想起効果を発動できますか。,はい、発動できます。そのため、『起業家』は発動する想起効果を操作することができます。
初期自我,I7,,,初期自我カード『冒険家』の「通過」とは、他プレイヤーがいる部屋と同じ部屋に止まっただけでは発動しないということですか。,はい、その通りです。他プレイヤーがいる部屋に止まらずに通り過ぎた場合に発動する効果となります。
初期自我,I7,,33,想起フェイズで表向きにしたカードは『No.33 零れ落ちる星屑』でした。想起効果は「次のレベル1の部屋に移動してもよい。そうした場合、場札を1枚獲得し、移動先のアクションを行う」です。現在の部屋に他プレイヤーが居て次の部屋に移動した場合、初期自我カード『冒険家』の効果は発動しますか。,いいえ、発動しません。現在の部屋も移動した先の部屋も「止まった」扱いであり、「通過した」扱いにはなりません。
目標,O6,,,精神分析アクションで精神分析階層を上げず、精神分析トークンを支払って精神分析を行いました。このとき、このターンに精神分析を2回実行する必要がある目標カードを獲得できますか。,いいえ、できません。精神分析階層を上げて初めて「精神分析を実行した」と言えます。
