card_id,lv2_id,card_name,id_name,n_card,original_id,level,engine,e1,e2,cost,r,otype,score,condition,effect
26,,忘れられた約束,No.26 忘れられた約束,1,9,1,1,感情,,2,感情,w,1,,
27,,別れの背中,No.27 別れの背中,1,9,1,1,意志,,2,意志,w,1,,
28,,歪曲する記録,No.28 歪曲する記録,1,10,1,1,知恵,,2,知恵,w,1,,
29,,古代の美学,No.29 古代の美学,1,10,1,1,感情,,2,感情,w,1,,
30,,矛盾を抱いた決断,No.30 矛盾を抱いた決断,1,10,1,1,意志,,2,意志,w,1,,
31,,曖昧な記憶,No.31 曖昧な記憶,1,11,1,1,知恵,,2,知恵,a,1,,
32,,宙吊りの罪悪感,No.32 宙吊りの罪悪感,1,11,1,1,感情,,2,感情,a,1,,
33,,零れ落ちる星屑,No.33 零れ落ちる星屑,1,11,1,1,意志,,2,意志,a,1,,
34,,思考の鍵,No.34 思考の鍵,1,12,1,1,知恵,,2,知恵,a,1,,
35,,巣立ち,No.35 巣立ち,1,12,1,1,感情,,2,感情,a,1,,
36,,反復する日常,No.36 反復する日常,1,12,1,1,意志,,2,意志,a,1,,
37,,こだまする問い,No.37 こだまする問い,1,13,1,1,知恵,,2,知恵,a,1,,
38,,虚無の囁き,No.38 虚無の囁き,1,13,1,1,感情,,2,感情,a,1,,
39,,錯覚の牢獄,No.39 錯覚の牢獄,1,13,1,1,意志,,2,意志,a,1,,
40,,日記,No.40 日記,1,14,1,任意1,任意,,3,知恵,c,2,,
41,,裏切りの果て,No.41 裏切りの果て,1,14,1,任意1,任意,,3,感情,c,2,,
42,,意見の錯綜,No.42 意見の錯綜,1,14,1,任意1,任意,,3,意志,c,2,,
43,,アーカイブ,No.43 アーカイブ,1,15,1,任意1,任意,,3,知恵,s,2,,
44,,嫉妬の茨,No.44 嫉妬の茨,1,15,1,任意1,任意,,3,感情,s,2,,
45,,革新の予感,No.45 革新の予感,1,15,1,任意1,任意,,3,意志,s,2,,
46,,迷宮の起点,No.46 迷宮の起点,1,16,1,任意1,任意,,3,知恵,w,2,,
47,,消えた日常,No.47 消えた日常,1,16,1,任意1,任意,,3,感情,w,2,,
48,,存在の彼岸,No.48 存在の彼岸,1,16,1,任意1,任意,,3,意志,w,2,,
49,,エイドスの残響,No.49 エイドスの残響,1,17,1,任意1,任意,,3,知恵,a,2,,
50,,涙の味,No.50 涙の味,1,17,1,任意1,任意,,3,感情,a,2,,
51,,螺旋の指南,No.51 螺旋の指南,1,17,1,任意1,任意,,3,意志,a,2,,
52,,選択と未来,No.52 選択と未来,1,22,1,1,知恵,,3,知恵,a,2,ターン開始時,ターン開始時、回廊上の2箇所の同レベルの想い出カードを入れ替えてもよい
53,,主観と客観,No.53 主観と客観,1,22,1,1,感情,,3,感情,a,2,ターン開始時,ターン開始時、回廊上の2箇所の同レベルの想い出カードを入れ替えてもよい
54,,自己像,No.54 自己像,1,22,1,1,意志,,3,意志,a,2,ターン開始時,ターン開始時、回廊上の2箇所の同レベルの想い出カードを入れ替えてもよい
55,,記憶の目録,No.55 記憶の目録,1,24,1,1,知恵,,3,知恵,a,2,ターン開始時,ターン開始時、2箇所のLv1の[床カード表面]を入れ替えてもよい
56,,正義の境界線,No.56 正義の境界線,1,24,1,1,感情,,3,感情,a,2,ターン開始時,ターン開始時、2箇所のLv1の[床カード表面]を入れ替えてもよい
57,,封印された選択肢,No.57 封印された選択肢,1,24,1,1,意志,,3,意志,a,2,ターン開始時,ターン開始時、2箇所のLv1の[床カード表面]を入れ替えてもよい
58,,観測前夜,No.58 観測前夜,2,25,1,1,知恵,,3,知恵,s,2,起動,[心光]が配置されていない[精神カード]を精神分析したとき、[心光]+1
59,,矛盾した公理,No.59 矛盾した公理,2,26,1,1,知恵,,3,知恵,s,2,常時,精神分析時、1/2/3/4/5回目の心光の行使では[心光]を1/1/2/2/3支払えばよい
60,,あの日の残像,No.60 あの日の残像,2,27,1,1,感情,,3,感情,s,2,常時,レベル2の想い出カードを自己構成するとき、[構成エネルギー]-1
61,,没頭する刻,No.61 没頭する刻,2,28,1,1,感情,,3,感情,s,2,起動,移動フェイズで移動コストとして3種類全ての鍵([意志鍵][知恵鍵][感情鍵])を使用していれば、移動フェイズの終了時に[想い出の山]+1
62,,自己矛盾,No.62 自己矛盾,2,29,1,1,意志,,3,意志,s,2,起動,他の人格がいる部屋で移動フェイズを終えたとき、想起効果を2回発動できる
63,,閉じたアルバム,No.63 閉じたアルバム,2,30,1,1,意志,,3,意志,s,2,常時,移動フェイズで、1/2/3/4/5回目の心光の行使は[心光]を1/1/2/2/3支払えばよい
64,,瞬間の保存,No.64 瞬間の保存,1,32,1,1,知恵,,3,知恵,a,2,起動,移動フェイズで、このターンに初めてレベル2の部屋に入る場合、[移動コスト]-1
65,,思惟の渦中,No.65 思惟の渦中,1,32,1,1,感情,,3,感情,a,2,起動,移動フェイズで、このターンに初めてレベル2の部屋に入る場合、[移動コスト]-1
66,,偉大なる指導者,No.66 偉大なる指導者,1,32,1,1,意志,,3,意志,a,2,起動,移動フェイズで、このターンに初めてレベル2の部屋に入る場合、[移動コスト]-1
67,,偉人のひらめき,No.67 偉人のひらめき,3,33,1,1,知恵,,3,知恵,a,2,起動,1ターンに4部屋以上移動したら[心光]+1
68,,夏至の午後,No.68 夏至の午後,3,34,1,1,感情,,3,感情,a,2,起動,1ターンに4部屋以上移動していれば、そのターン内で最初の自己構成時の[構成エネルギー]-1
69,,希望の篝火,No.69 希望の篝火,3,35,1,1,意志,,3,意志,a,2,起動,1ターンに4歩以上移動したら[想い出の場札]+1
70,,終端の構造,No.70 終端の構造,2,43,1,1,知恵,,4,知恵,w,2,常時,自己構成時、1/2/3/4/5回目の心光の行使は[心光]を1/1/2/2/3支払えばよい
71,,子守唄,No.71 子守唄,2,44,1,1,感情,,4,感情,w,2,起動,自己構成時、自己構成したカードの想起効果を使用してもよい
72,,鏡の向こう,No.72 鏡の向こう,2,45,1,1,意志,,4,意志,w,2,ターン開始時,ターン開始時、好きな部屋にワープする。ワープではその部屋に「入室済み」とはみなされない
73,,断絶した思考の輪,No.73 断絶した思考の輪,2,47,1,1,知恵,,4,知恵,c,2,起動,[知恵鍵]を持つ想い出カードを自己構成するたび、[想い出の山札]+1
74,,心の修復,No.74 心の修復,2,47,1,1,感情,,4,感情,c,2,起動,[感情鍵]を持つ想い出カードを自己構成するたび、[想い出の山札]+1
75,,友情の証,No.75 友情の証,2,47,1,1,意志,,4,意志,c,2,起動,[意志鍵]を持つ想い出カードを自己構成するたび、[想い出の山札]+1
76,,昇華,No.76 昇華,4,48,1,1,知恵,,4,知恵,s,2,起動,[知恵鍵]を持つ想い出カードを自己構成するたび、[心光]+1
77,,眠りの瞬間,No.77 眠りの瞬間,4,49,1,1,感情,,4,感情,s,2,常時,[感情鍵]を持つ想い出カードを自己構成するとき、[構成エネルギー]-1
78,,夕暮れの約束,No.78 夕暮れの約束,4,50,1,1,意志,,4,意志,s,2,起動,[意志鍵]を持つ想い出カードを自己構成するたび、[想い出の場札]+1
79,,過去への扉,No.79 過去への扉,3,51,1,1,知恵,,4,知恵,w,2,起動,精神分析階層を上げたとき、[心光]+1
80,,赦しの言葉,No.80 赦しの言葉,3,52,1,1,感情,,4,感情,w,2,起動,精神分析階層を上げたとき、そのターン内の次の自己構成における[構成エネルギー]-1
81,,無名の憧れ,No.81 無名の憧れ,3,53,1,1,意志,,4,意志,w,2,起動,精神分析階層を上げたとき、[想い出の場札]+1
82,,有限と無限の間,No.82 有限と無限の間,2,57,1,異種2,知恵,感情,4,知恵,c,1,,
83,,愛の誓い,No.83 愛の誓い,2,57,1,異種2,感情,意志,4,感情,c,1,,
84,,走り続けた脚,No.84 走り続けた脚,2,57,1,異種2,意志,知恵,4,意志,c,1,,
85,1,照らすもの,No.85 照らすもの,2,59,2,1,知恵,感情,5,知恵,w,3,起動,[床カード]の効果で[心光]獲得時、追加で[心光]+1
86,2,旋律のしぶき,No.86 旋律のしぶき,2,60,2,1,感情,意志,5,感情,w,3,起動,[床カード]の効果で[想い出の山札]からカードを獲得するとき、追加で[想い出の山札]+1
87,3,勇気の残り香,No.87 勇気の残り香,2,61,2,1,意志,知恵,5,意志,w,3,起動,[床カード]の効果で[想い出の場札]からカードを獲得するとき、追加で[想い出の場札]+1
88,4,知識の方舟,No.88 知識の方舟,2,62,2,1,知恵,意志,5,知恵,s,3,即時,精神分析階層を1つ上げる。ただし、この効果で第五階層に上げることはできない
89,5,好きぴ,No.89 好きぴ,2,63,2,1,感情,知恵,6,感情,s,2,即時,構成エネルギーを支払わずに[Lv1の想い出カード]を1枚自己構成してもよい
90,6,絆の糸,No.90 絆の糸,2,64,2,1,意志,感情,6,意志,s,3,即時,自己構成済みカード3枚につき[万能移動鍵トークン]+1
91,7,無限回廊の地図,No.91 無限回廊の地図,1,65,2,任意2,任意,任意,5,知恵,s,3,,
92,8,勝利の瞬間,No.92 勝利の瞬間,1,65,2,任意2,任意,任意,5,感情,s,3,,
93,9,彼方への越境,No.93 彼方への越境,1,65,2,任意2,任意,任意,5,意志,s,3,,
94,10,知識の迷宮,No.94 知識の迷宮,2,67,2,1,知恵,知恵,5,知恵,a2,3,常時,精神分析時、[知恵鍵]は全て[任意鍵]として扱う
95,11,歓喜の残滓,No.95 歓喜の残滓,2,68,2,1,感情,感情,6,感情,a2,3,常時,自己構成時、[感情鍵]を持つこのターン未使用の自己構成済みカードを好きな枚数横向きにする。X枚横向きにしたら、[自己構成エネルギー]-X
96,12,存在の多面性,No.96 存在の多面性,2,69,2,1,意志,意志,6,意志,a2,3,常時,移動フェイズ中、[意志鍵]は全て[任意鍵]として扱う
97,13,文字の恩恵,No.97 文字の恩恵,1,70,2,1,知恵,知恵,7,知恵,c,4,即時,自己構成済みの[知恵鍵]1つにつき、[心光]+1
98,14,母の手の温もり,No.98 母の手の温もり,1,71,2,1,感情,感情,7,感情,c,4,保有時,自己構成済みの[感情鍵]1つにつき、このカードの[構成エネルギー]-1
99,15,繋いできた願い,No.99 繋いできた願い,1,72,2,1,意志,意志,7,意志,c,4,即時,自己構成済みの[意志鍵]1つにつき、[想い出の場札]+1
I1,,,巨匠,,,,,,,,,,,,自己構成済みカードが1/3/5/7/9枚目になったとき、[想い出の山札]+1
I2,,,領事,,,,,,,,,,,,精神分析階層で[心光]を獲得したとき、追加で[心光]+1
I3,,,建築家,,,,,,,,,,,,自己構成アクション時、自己構成をする代わりに以下を行っても良い：自己構成済みカードを1枚捨札にし、捨てたカードの[構成エネルギー]より2まで大きい想い出カードを1枚自己構成する
I4,,,論理学者,,,,,,,,,,,,精神分析コストとして[想い出カード]を支払った場合、現在自分がいる[部屋]から反時計回りに[床カード]の下に1枚ずつコストとして支払った[想い出カード]を置く。[床]の下に[想い出カード]が置かれている部屋に自分が止まった場合、その[想い出カード]を自分の手札に加える
I5,,,起業家,,,,,,,,,,,,ターン開始時、手札とどの人格もいない回廊上の想い出カードと手札の同レベルの想い出カードを1枚入れ替えてもよい
I6,,,擁護者,,,,,,,,,,,,移動フェイズで[万能鍵トークン]を1つも使わなかった場合、[想い出の山札]+1
I7,,,冒険家,,,,,,,,,,,,各ターンに初めて他の人格がいる部屋を通過したとき、[想い出の山札]+1
I8,,,主人公,,,,,,,,,,,,自己構成をするとき、[想い出カード]を2枚まで追加で支払っても良い。そうした場合、追加で支払った[カード]を自己構成したカードの下に裏向きで置く。それらの[想い出カード]1枚につき[自己構成スコア]+1
E1,,,頑張り屋な,,,,,,,,,,,常時,自己構成時、[自己構成エネルギー]-1
E2,,,素直な,,,,,,,,,,,常時,精神分析コスト-1
E3,,,照れ屋な,,,,,,,,,,,ターン開始時,[山札]+1
E4,,,気まぐれな,,,,,,,,,,,ターン開始時,[心光]+1
E5,,,真面目な,,,,,,,,,,,ターン開始時,[万能移動鍵トークン]+1
O1,,,万能移動鍵の目標,,,,,,,,,,,1ターンに6部屋以上入室,[任意移動鍵トークン数]の個数につき以下の[構成スコア]：1/2~3/4~5/6+につき1/2/3/4
O2,,,Lv2自己構成の目標,,,,,,,,,,,[Lv2カード]を2枚以上自己構成,自己構成済み[Lv2カード]の枚数につき以下の[構成スコア]：2/3/4+につき2/3/4
O3,,,同一エンジンの目標,,,,,,,,,,,自己構成済みカードに[知恵鍵]4本/[意志鍵]4本/[感情鍵]4本以上存在,自己構成済みカードの[知恵鍵]/[意志鍵]/[感情鍵]のうち最も多い本数につき以下の[構成スコア]：1/2~3/4~5/6+なら1/2/3/4
O4,,,手札の目標,,,,,,,,,,,ターン終了時の手札が6枚以上,手札枚数につき以下の[構成スコア]：1~2/3-4/5-6/7+なら1/2/3/4
O5,,,心光の目標,,,,,,,,,,,1ターンに[心光]を4つ以上獲得,心光保有数につき以下の[構成スコア]：1/2~3/4~5/6+なら1/2/3/4
O6,,,精神分析階層の目標,,,,,,,,,,,1ターンに[精神分析]を2回以上実行,精神分析階層につき以下の[構成スコア]：1/2/3/4+なら1/2/3/4
O7,,,多種エンジンの目標,,,,,,,,,,,自己構成済みカードに[知恵鍵][意志鍵][感情鍵][任意鍵]が全て存在,[知恵鍵][意志鍵][感情鍵]のセットにつき以下の[構成スコア]：1/2/3+なら2/3/4
